what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1327580383044
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1327580383045
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1327580383046
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1327580383047
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1327580383048
started,bundle,com.google.appengine.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.appengine.eclipse.core",1327580383049
started,bundle,com.google.gdt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.core",1327580383049
started,bundle,com.google.gdt.eclipse.login,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.login",1327580383050
started,bundle,com.google.gdt.eclipse.managedapis,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.managedapis",1327580383051
started,bundle,com.google.gdt.eclipse.platform.e37,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.platform.e37",1327580383052
started,bundle,com.google.gdt.eclipse.platform.shared,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.platform.shared",1327580383053
started,bundle,com.google.gdt.eclipse.suite.ext,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.suite.ext",1327580383053
started,bundle,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core",1327580383054
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1327580383054
started,bundle,org.eclipse.wb.core,1.2.0.r37x201112290923,"org.eclipse.wb.core",1327580383056
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201112290923,"org.eclipse.wb.core.lib",1327580383057
os,sysinfo,,,"win32",1327580383064
arch,sysinfo,,,"x86_64",1327580383064
ws,sysinfo,,,"win32",1327580383064
locale,sysinfo,,,"en_US",1327580383064
processors,sysinfo,,,"4",1327580383064
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327580383064
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1327580383064
java.specification.name,sysinfo,,,"Java Platform API Specification",1327580383064
java.specification.vendor,sysinfo,,,"Oracle Corporation",1327580383064
java.specification.version,sysinfo,,,"1.7",1327580383064
java.vendor,sysinfo,,,"Oracle Corporation",1327580383064
java.version,sysinfo,,,"1.7.0_01",1327580383064
java.vm.info,sysinfo,,,"mixed mode",1327580383064
